SPECIES,WILDLIFE_TYPE,records
Tufted titmouse,Other wildlife,4
Brown-crested flycatcher,Terrestrial mammal,4
"Waxbills, mannikins, parrotfinches",Other wildlife,4
Eastern cattle egret,Terrestrial mammal,4
Kit fox,Terrestrial mammal,4
Gambel's quail,Other wildlife,4
Great gray owl,Bird,4
Barrow's goldeneye,Other wildlife,4
Western small-footed myotis,Bird,4
Black-headed gull complex,Bird,4
Big free-tailed bat,Bat,4
Louisiana waterthrush,Other wildlife,4
Red-footed booby,Other wildlife,4
White-crowned pigeon,Bird,4
Coastal plain cooter,Other wildlife,4
Alligator snapping turtle,Reptile,4
Yellow-fronted canary,Other wildlife,4
Elegant tern,Bird,4
Ptarmigans,Other wildlife,4
Reddish egret,Bird,4
Pocketed free-tailed bat,Bat,4
Red-tailed tropicbird,Bird,4
Egyptian free-tailed bat,Bat,4
Japanese white-eye,Other wildlife,4
Long-legged myotis,Other wildlife,3
African collared dove,Bird,3
Yuma myotis,Other wildlife,3
Sagebrush sparrow,Bird,3
Yellow-legged gull,Bird,3
American black bear,Other wildlife,3
Clark's grebe,Bird,3
Carolina chickadee,Other wildlife,3
California myotis,Other wildlife,3
Allen's hummingbird,Bird,3
Carrion crow,Other wildlife,3
Prairie rattlesnake,Reptile,3
Meadow pipit,Other wildlife,3
Gray-breasted martin,Other wildlife,3
Limpkin,Other wildlife,3
Yellow rail,Other wildlife,3
Jamaican fruit bat,Bat,3
Neotropic cormorant,Other wildlife,3
Thrashers,Other wildlife,3
Tropical kingbird,Bird,3
Cormorants,Other wildlife,3
Bohemian waxwing,Other wildlife,3
Blue-winged warbler,Other wildlife,3
Rock ptarmigan,Other wildlife,3
Couch's kingbird,Bird,3
Florida red-bellied cooter,Other wildlife,3
Helmeted guineafowl,Bird,3
Corn snake,Reptile,3
Partridges,Other wildlife,3
Coypu (nutria),Other wildlife,3
Parasitic jaeger,Other wildlife,3
Song thrush,Other wildlife,3
Northern shrike,Other wildlife,3
Hawaiian hawk,Bird,3
Western screech-owl,Bird,3
Hairy woodpecker,Other wildlife,3
Whiskered tern,Bird,3
Grouse,Other wildlife,3
Great kiskadee,Other wildlife,3
Iceland gull,Bird,3
Seaside sparrow,Bird,3
Eared dove,Bird,3
Blue-and-white swallow,Bird,3
Double-striped thick-knee,Other wildlife,3
Swainson's warbler,Other wildlife,3
Caribou,Other wildlife,3
Calliope hummingbird,Bird,3
California towhee,Other wildlife,3
Eurasian wigeon,Other wildlife,3
Striped mud turtle,Reptile,3
Eastern mud turtle,Reptile,2
Great cormorant,Other wildlife,2
Black-legged kittiwake,Other wildlife,2
Fork-tailed storm-petrel,Other wildlife,2
Golden-winged warbler,Other wildlife,2
Bicknell's thrush,Other wildlife,2
Gyrfalcon,Bird,2
Gray sac-winged bat,Bat,2
Western yellow bat,Bat,2
Ross's goose,Bird,2
Rufous-tailed robin,Other wildlife,2
Black turnstone,Other wildlife,2
Antelope jackrabbit,Terrestrial mammal,2
Western ribbon snake,Reptile,2
Bare-eyed pigeon,Bird,2
Northern hawk owl,Bird,2
Old World vultures,Bird,2
Oriental turtle dove,Reptile,2
Oriental plover,Other wildlife,2
Pallid swift,Other wildlife,2
Parakeets,Other wildlife,2
Olive sparrow,Bird,2
Olive-backed pipit,Other wildlife,2
Ornate box turtle,Reptile,2
Pacific loon,Other wildlife,2
Curve-billed thrasher,Other wildlife,2
"Blackbirds, meadowlarks, orioles",Bird,2
Mynas,Other wildlife,2
Long-eared myotis,Other wildlife,2
Diamondback water snake,Reptile,2
Nacunda nighthawk,Bird,2
Pelagic cormorant,Other wildlife,2
Cranes,Bird,2
Spotted thick-knee,Other wildlife,2
Spotted bat,Bat,2
Common snipe,Other wildlife,2
Blue-crowned parakeet,Other wildlife,2
Spiny softshell turtle,Reptile,2
"Swift, tree-swifts, hummingbirds",Bird,2
Purple heron,Bird,2
Common pipistrelle,Other wildlife,2
Eurasian coot,Other wildlife,2
Tricolored blackbird,Bird,2
Brown booby,Other wildlife,2
Trumpeter swan,Other wildlife,2
Thirteen-lined ground squirrel,Terrestrial mammal,2
Lawrence's goldfinch,Other wildlife,2
Indian flying fox,Terrestrial mammal,2
Kittiwakes,Other wildlife,2
Java sparrow,Bird,2
Kentish plover,Other wildlife,2
Eastern gray squirrel,Terrestrial mammal,2
Eastern diamondback rattlesnake,Reptile,2
Western barn owl,Bird,2
Least weasel,Other wildlife,2
Lawrence's warbler,Other wildlife,2
Thick-billed kingbird,Bird,2
Water moccasin,Other wildlife,2
"Prairie dogs, marmots, squirrels",Terrestrial mammal,2
